"","SiteSubsitePlot","ShrubChange","GramChange","ForbChange","ShrubTrend","GramTrend","ForbTrend"
"91","ALEXFIORD:FERT:Fert.c.c.5",9.48756976154236,-7.15372907153729,-2.33384069000507,"Increase","Decrease","Decrease"
"92","ALEXFIORD:MEADOW:Mead.c.1",-11.8378378378378,14.4864864864865,-2.64864864864865,"Decrease","Increase","Decrease"
"93","ALEXFIORD:MEADOW:Mead.c.10",1.42627919415225,-8.89641647352468,7.47013727937244,"Increase","Decrease","Increase"
"94","ALEXFIORD:MEADOW:Mead.c.2",-15.2482269503546,12.2476813966176,3.00054555373704,"Decrease","Increase","Increase"
"95","ALEXFIORD:MEADOW:Mead.c.3",-13.1082423038729,4.61767626613705,8.49056603773585,"Decrease","Increase","Increase"
"96","ALEXFIORD:MEADOW:Mead.c.4",-3.45313601127555,2.59572468874794,0.857411322527602,"Decrease","Increase","Increase"
"97","ALEXFIORD:MEADOW:Mead.c.5",-3.14401622718053,-0.5578093306288,3.70182555780933,"Decrease","Decrease","Increase"
"98","ALEXFIORD:MEADOW:Mead.c.6",-20.1082897684839,14.1150112023898,5.9932785660941,"Decrease","Increase","Increase"
"99","ALEXFIORD:MEADOW:Mead.c.7",-7.82947896349958,2.53552521593758,5.29395374756199,"Decrease","Increase","Increase"
"100","ALEXFIORD:MEADOW:Mead.c.8",1.00145137880987,-2.04644412191583,1.04499274310595,"Increase","Decrease","Increase"
"101","ALEXFIORD:MEADOW:Mead.c.9",-2.31907237105158,5.93762495001998,-3.61855257896841,"Decrease","Increase","Decrease"
"102","ALEXFIORD:WILLOW:Will.c.1",30.1911667765326,-19.2814765985498,-10.9096901779829,"Increase","Decrease","Decrease"
"103","ALEXFIORD:WILLOW:Will.c.10",15.4761904761905,-8.33333333333333,-7.14285714285714,"Increase","Decrease","Decrease"
"104","ALEXFIORD:WILLOW:Will.c.2",15.4891304347826,4.6195652173913,-20.1086956521739,"Increase","Increase","Decrease"
"105","ALEXFIORD:WILLOW:Will.c.3",-3.50404312668462,5.57053009883199,-2.06648697214735,"Decrease","Increase","Decrease"
"106","ALEXFIORD:WILLOW:Will.c.4",22.3821339950372,-2.4317617866005,-19.9503722084367,"Increase","Decrease","Decrease"
"107","ALEXFIORD:WILLOW:Will.c.5",40.1116427432217,-36.682615629984,-3.42902711323764,"Increase","Decrease","Decrease"
"108","ALEXFIORD:WILLOW:Will.c.6",0.673400673400678,19.8653198653199,-20.5387205387205,"Increase","Increase","Decrease"
