"","SiteSubsiteYear","X","Y","TimePoint","SiteSubsite"
"125","LATNJA:TUSSOCK_TUNDRA:Begin",0.13874478459781,0.0480115289521409,"Start","LATNJA:TUSSOCK_TUNDRA"
"126","LATNJA:TUSSOCK_TUNDRA:End",0.272627534284177,0.079991940065934,"End","LATNJA:TUSSOCK_TUNDRA"
"127","LATNJA:WET_MEADOW:Begin",-0.10673297836643,0.157889448287145,"Start","LATNJA:WET_MEADOW"
"128","LATNJA:WET_MEADOW:End",-0.110203958434712,0.166275724747294,"End","LATNJA:WET_MEADOW"
"129","LOGH:LOGH2:Begin",0.474298363813718,0.142989166512049,"Start","LOGH:LOGH2"
"130","LOGH:LOGH2:End",0.372794510193722,0.136416471175048,"End","LOGH:LOGH2"
"131","LOGH:LOGH4:Begin",0.343899488642238,0.114899932770054,"Start","LOGH:LOGH4"
"132","LOGH:LOGH4:End",0.388088005667876,0.131054072497497,"End","LOGH:LOGH4"
"133","LOGH:LOGH5:Begin",0.399543827180884,0.140764846838688,"Start","LOGH:LOGH5"
"134","LOGH:LOGH5:End",0.389823250970766,0.131982089656697,"End","LOGH:LOGH5"
"135","LORI:LORI1:Begin",0.3917616467966,0.147517781840383,"Start","LORI:LORI1"
"136","LORI:LORI1:End",0.401286575935697,0.146010860204297,"End","LORI:LORI1"
"137","LORI:LORI3:Begin",0.474552226457563,0.150450986302584,"Start","LORI:LORI3"
"138","LORI:LORI3:End",0.405569715567641,0.159811610263605,"End","LORI:LORI3"
"139","LORI:LORI4:Begin",0.446208294046243,0.159148647538762,"Start","LORI:LORI4"
"140","LORI:LORI4:End",0.446003967565616,0.150851182078137,"End","LORI:LORI4"
"141","QHI:HE:Begin",-0.10230839994644,0.106960385698066,"Start","QHI:HE"
"142","QHI:HE:End",-0.117977845146927,0.116443208774632,"End","QHI:HE"
"143","QHI:KO:Begin",-0.241612995724528,-0.149024404693295,"Start","QHI:KO"
"144","QHI:KO:End",-0.236674864305876,-0.157766057228175,"End","QHI:KO"
"145","RIRI:RIRI2:Begin",0.3613306466492,0.0634076982421574,"Start","RIRI:RIRI2"
"146","RIRI:RIRI2:End",0.400240850190085,0.0965305784895057,"End","RIRI:RIRI2"
"147","RIRI:RIRI4:Begin",0.255936263908191,0.0412002466162612,"Start","RIRI:RIRI4"
"148","RIRI:RIRI4:End",0.304562358353328,0.0538788613318288,"End","RIRI:RIRI4"
"149","RIRI:RIRI6:Begin",0.297300272426616,0.0575325039328697,"Start","RIRI:RIRI6"
"150","RIRI:RIRI6:End",0.340470816598748,0.0788390231528369,"End","RIRI:RIRI6"
"151","SADVENT:MES_POINTFRAME:Begin",-0.114604708776249,0.00157123741357017,"Start","SADVENT:MES_POINTFRAME"
"152","SADVENT:MES_POINTFRAME:End",-0.0872013849820056,-0.0780907686685243,"End","SADVENT:MES_POINTFRAME"
"153","THINGVELLIR:MOSS HEATH:Begin",0.0162352809429388,0.0146475528443377,"Start","THINGVELLIR:MOSS HEATH"
"154","THINGVELLIR:MOSS HEATH:End",0.0218942787914946,0.0149990101007867,"End","THINGVELLIR:MOSS HEATH"
"155","THUFUVER:PALSA:Begin",0.0516093459015852,-0.181523805322022,"Start","THUFUVER:PALSA"
"156","THUFUVER:PALSA:End",0.0225918599456051,-0.11532743803305,"End","THUFUVER:PALSA"
"157","THUFUVER:SALIXHEATH:Begin",0.00280380046468766,-0.203734299609166,"Start","THUFUVER:SALIXHEATH"
"158","THUFUVER:SALIXHEATH:End",0.0127139711872052,-0.239851227997267,"End","THUFUVER:SALIXHEATH"
"159","TOOLIK:DRY:Begin",0.0573070971252367,-0.0881477551328203,"Start","TOOLIK:DRY"
"160","TOOLIK:DRY:End",0.0772761100252068,-0.0716744264544761,"End","TOOLIK:DRY"
"161","TOOLIK:IMNAVAIT:Begin",0.118585646111907,0.0339342046253149,"Start","TOOLIK:IMNAVAIT"
"162","TOOLIK:IMNAVAIT:End",0.114814426601553,0.0272560493438561,"End","TOOLIK:IMNAVAIT"
"163","TOOLIK:MOIST:Begin",0.260149833746373,0.0770271573342104,"Start","TOOLIK:MOIST"
"164","TOOLIK:MOIST:End",0.254167362345937,0.0597838239151466,"End","TOOLIK:MOIST"
"165","TOOLIK:TUSSOCKGRID:Begin",-0.00575869283429567,0.0932354001777898,"Start","TOOLIK:TUSSOCKGRID"
"166","TOOLIK:TUSSOCKGRID:End",0.0207828761426512,0.105712837679479,"End","TOOLIK:TUSSOCKGRID"
"167","WOLFCREEK:WOLFCREEK:Begin",-0.121753660786714,-0.286607989470276,"Start","WOLFCREEK:WOLFCREEK"
"168","WOLFCREEK:WOLFCREEK:End",-0.115603882961304,-0.272447223649837,"End","WOLFCREEK:WOLFCREEK"
"169","ZACKENBERG:ABRASION PLATEAU:Begin",-0.0328131823368053,0.00645419920296656,"Start","ZACKENBERG:ABRASION PLATEAU"
"170","ZACKENBERG:ABRASION PLATEAU:End",-0.0907665357239283,-0.0601943610131489,"End","ZACKENBERG:ABRASION PLATEAU"
"171","ZACKENBERG:CASSIOPE TETRAGONA HEATH:Begin",-0.236737001465735,-0.315453415617771,"Start","ZACKENBERG:CASSIOPE TETRAGONA HEATH"
"172","ZACKENBERG:CASSIOPE TETRAGONA HEATH:End",-0.247625249283089,-0.29584552852689,"End","ZACKENBERG:CASSIOPE TETRAGONA HEATH"
"173","ZACKENBERG:FEN:Begin",-0.0796818355163833,-0.0234157315704596,"Start","ZACKENBERG:FEN"
"174","ZACKENBERG:FEN:End",-0.163698666377256,-0.0840661076003831,"End","ZACKENBERG:FEN"
"175","ZACKENBERG:GRASSLAND:Begin",-0.13589441558012,-0.0220152231907196,"Start","ZACKENBERG:GRASSLAND"
"176","ZACKENBERG:GRASSLAND:End",-0.166165957120978,-0.0601525757655698,"End","ZACKENBERG:GRASSLAND"
"177","ZACKENBERG:SALIX ARCTICA SNOWBED:Begin",-0.271860309305049,-0.150955312478791,"Start","ZACKENBERG:SALIX ARCTICA SNOWBED"
"178","ZACKENBERG:SALIX ARCTICA SNOWBED:End",-0.264997187585868,-0.165514454757037,"End","ZACKENBERG:SALIX ARCTICA SNOWBED"
"179","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH:Begin",-0.097825332940161,-0.247310853099028,"Start","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH"
"180","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH:End",-0.13938127806176,-0.296949302047017,"End","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH"
