FID,MA_tmp,MA_prp,Tundra
411,-9.3208303,22.8332996,Tundra
412,-15.6639996,9.6666698,Tundra
413,-14.3584003,23.9167004,Tundra
414,-10.1879997,26.75,Tundra
415,-27.2472992,57.0833015,OtherBiomes
416,-16.1973991,18.6667004,Tundra
417,-14.7024002,20.5,Tundra
418,-25.5657997,38.6666985,OtherBiomes
419,-9.74858,24.3332996,Tundra
420,-15.0412998,10.75,Tundra
421,-15.0844002,10.8332996,Tundra
422,-15.0689001,20.9167004,Tundra
423,-14.3684998,22.5832996,Tundra
424,-16.2290001,17,Tundra
425,-11.2039003,27.8332996,Tundra
426,-14.3535995,23,Tundra
427,-12.5762997,30.5,Tundra
428,-27.0653,67.1667023,OtherBiomes
429,-14.1497002,11.9167004,Tundra
430,-16.2455006,6.4166698,Tundra
431,-13.0855999,27.75,Tundra
432,-14.3343,21.9167004,Tundra
433,-17.4277,20.4167004,Tundra
434,-14.1087999,22.3332996,Tundra
435,-18.2882996,59.75,OtherBiomes
436,-16.9167995,12.5,Tundra
437,-15.2736998,10.75,Tundra
438,-16.5816002,10.25,Tundra
439,-14.8361998,10.75,Tundra
440,-14.3725004,16.8332996,OtherBiomes
441,-25.0557003,80.25,OtherBiomes
442,-13.4766998,22.4167004,Tundra
443,-23.1954994,75,OtherBiomes
444,-18.1842003,14.5,Tundra
445,-14.2993002,23.3332996,Tundra
446,-25.7206001,40.9166985,OtherBiomes
447,-11.2508001,15.5832996,OtherBiomes
448,-26.9333,53.0833015,OtherBiomes
449,-16.7369995,6.1666698,Tundra
450,-27.0765991,81.9167023,OtherBiomes
451,-24.5818996,71.25,OtherBiomes
452,-13.0503998,24.25,Tundra
453,-15.1591997,15.25,Tundra
454,-24.3232002,32.3333015,OtherBiomes
455,-15.8233995,18.0832996,OtherBiomes
456,-15.573,14.8332996,Tundra
457,-14.2072001,11.4167004,Tundra
458,-8.4565802,31.6667004,Tundra
459,-14.7370996,22.1667004,Tundra
460,-12.9818001,25.25,Tundra
461,-14.1668997,20.0832996,Tundra
462,-14.7615995,20.25,Tundra
463,-14.5591002,17.6667004,Tundra
464,-13.0827999,58.3333015,Tundra
465,-12.6176996,28.0832996,Tundra
466,-15.224,14.4167004,Tundra
467,-13.5597,23.1667004,Tundra
468,-16.6532001,12.75,Tundra
469,-19.7360992,64.9167023,OtherBiomes
470,-15.4392996,15.1667004,Tundra
471,-26.0904999,79.75,OtherBiomes
472,-26.6814995,62.5,OtherBiomes
473,-22.4197998,73.25,OtherBiomes
474,-18.0732994,64.0832977,OtherBiomes
475,-15.3650999,10.1667004,Tundra
476,-14.8606005,14.8332996,Tundra
477,-15.5015001,19.3332996,Tundra
478,-16.2921009,17.5832996,OtherBiomes
479,-13.5499001,55.8333015,Tundra
480,-19.9932003,74.5,OtherBiomes
481,-21.7765007,75.25,OtherBiomes
482,-13.0752001,22.8332996,Tundra
483,-13.5628996,22.5832996,Tundra
484,-12.7284002,25.0832996,Tundra
485,-11.6443005,48.3333015,Tundra
486,-23.7663994,29.75,OtherBiomes
487,-26.2262001,80.25,OtherBiomes
488,-14.7336998,16.8332996,Tundra
489,-15.6751003,60.25,Tundra
490,-16.9174995,13.8332996,Tundra
491,-25.2898998,43.4166985,OtherBiomes
492,-14.2707005,22.75,Tundra
493,-25.6947994,45.4166985,OtherBiomes
494,-13.2315998,25.8332996,Tundra
495,-14.5091,10.8332996,Tundra
496,-18.4703007,64.5832977,OtherBiomes
497,-14.1947002,20.6667004,Tundra
498,-13.4212999,23.25,Tundra
499,-12.6617002,27.3332996,Tundra
500,-15.9587002,19.25,Tundra
501,-12.3303003,26.75,Tundra
502,-14.5257998,17.4167004,Tundra
503,-13.7669001,22.5,Tundra
504,-26.8698997,64.0832977,OtherBiomes
505,-14.3280001,18.8332996,Tundra
506,-13.9833002,17.4167004,Tundra
507,-12.0258999,29.1667004,Tundra
508,-16.7338009,9.4166698,Tundra
509,-14.9291,20.25,Tundra
510,-15.1416998,14.5,Tundra
511,-12.9242001,12.0832996,Tundra
