"","SiteSubsitePlot","duration","richness","richness_change","Jaccard","BrayCurtis","richness_change_abs"
"497","THUFUVER:SALIXHEATH:SALIXHEATH3_13",23,5,-3,0,0.816231884057971,3
"498","THUFUVER:SALIXHEATH:SALIXHEATH1_20",23,7,3,0,0.788461538461538,3
"499","THUFUVER:SALIXHEATH:SALIXHEATH1_3",23,5,1,0,0.48941798941799,1
"500","THUFUVER:SALIXHEATH:SALIXHEATH2_17",23,7,-2,0,0.506060606060606,2
"501","THUFUVER:SALIXHEATH:SALIXHEATH2_16",23,8,1,0.285714285714286,0.375730994152047,1
"502","THUFUVER:SALIXHEATH:SALIXHEATH3_11",23,8,0,0.5,0.750697674418605,0
"503","THUFUVER:SALIXHEATH:SALIXHEATH2_14",23,9,1,0.25,0.201086956521739,1
"504","THUFUVER:SALIXHEATH:SALIXHEATH3_2",23,8,-6,0,0.5,6
"505","THUFUVER:SALIXHEATH:SALIXHEATH1_2",23,7,5,0,0.822222222222222,5
"506","THUFUVER:SALIXHEATH:SALIXHEATH1_9",23,5,0,0,0.5004329004329,0
"507","THUFUVER:SALIXHEATH:SALIXHEATH2_9",23,9,-1,0.5,0.567567567567568,1
"508","THUFUVER:SALIXHEATH:SALIXHEATH3_1",23,8,-6,0,0.8125,6
"509","THUFUVER:SALIXHEATH:SALIXHEATH2_12",23,9,-2,0,0.197368421052632,2
"510","THUFUVER:SALIXHEATH:SALIXHEATH2_15",23,8,0,0.25,0.358543417366947,0
"511","THUFUVER:SALIXHEATH:SALIXHEATH3_14",23,8,-1,0.285714285714286,0.819409282700422,1
"512","THUFUVER:SALIXHEATH:SALIXHEATH3_15",23,8,2,0.666666666666667,0.770491803278688,2
"513","THUFUVER:SALIXHEATH:SALIXHEATH3_16",23,7,-2,0.4,0.64375,2
"514","THUFUVER:SALIXHEATH:SALIXHEATH3_17",23,9,-3,0.666666666666667,0.885714285714286,3
"515","THUFUVER:SALIXHEATH:SALIXHEATH1_1",23,8,3,0.4,0.855938416422287,3
"516","THUFUVER:SALIXHEATH:SALIXHEATH1_10",23,8,0,0.25,0.53109756097561,0
"517","THUFUVER:SALIXHEATH:SALIXHEATH2_13",23,9,0,0.222222222222222,0.166875,0
"518","THUFUVER:SALIXHEATH:SALIXHEATH1_5",23,6,2,0,0.333333333333333,2
"519","THUFUVER:SALIXHEATH:SALIXHEATH1_6",23,7,2,0,0.602322206095791,2
"520","THUFUVER:SALIXHEATH:SALIXHEATH1_7",23,7,1,0.666666666666667,0.495049504950495,1
"521","THUFUVER:SALIXHEATH:SALIXHEATH1_8",23,9,1,0.5,0.640350877192982,1
"522","THUFUVER:SALIXHEATH:SALIXHEATH3_6",23,6,1,0.4,0.657448706512043,1
"523","THUFUVER:SALIXHEATH:SALIXHEATH3_10",23,8,3,0,0.713559322033898,3
"524","THUFUVER:SALIXHEATH:SALIXHEATH1_18",23,8,-1,0.571428571428571,0.901960784313725,1
"525","THUFUVER:SALIXHEATH:SALIXHEATH3_18",23,6,-2,0,0.208751793400287,2
"526","THUFUVER:SALIXHEATH:SALIXHEATH3_19",23,9,1,0.5,0.769230769230769,1
"527","THUFUVER:SALIXHEATH:SALIXHEATH1_11",23,8,1,0.285714285714286,0.521778584392015,1
"528","THUFUVER:SALIXHEATH:SALIXHEATH3_3",23,5,-1,0.5,0.832606800348736,1
"529","THUFUVER:SALIXHEATH:SALIXHEATH1_12",23,8,-1,0.571428571428571,0.861904761904762,1
"530","THUFUVER:SALIXHEATH:SALIXHEATH1_13",23,8,-1,0.857142857142857,0.967213114754098,1
"531","THUFUVER:SALIXHEATH:SALIXHEATH1_14",23,8,0,0.5,0.887163561076605,0
"532","THUFUVER:SALIXHEATH:SALIXHEATH1_15",23,7,2,0.4,0.385585585585586,2
"533","THUFUVER:SALIXHEATH:SALIXHEATH1_16",23,7,2,0.4,0.447415329768271,2
"534","THUFUVER:SALIXHEATH:SALIXHEATH1_17",23,8,-1,0.571428571428571,0.754824561403509,1
"535","THUFUVER:SALIXHEATH:SALIXHEATH2_1",23,7,0,0.571428571428571,0.234920634920635,0
"536","THUFUVER:SALIXHEATH:SALIXHEATH2_10",23,7,-1,0.333333333333333,0.541137123745819,1
"537","THUFUVER:SALIXHEATH:SALIXHEATH3_5",23,5,0,0.4,0.708222811671088,0
"538","THUFUVER:SALIXHEATH:SALIXHEATH3_4",23,6,0,0.333333333333333,0.601754385964912,0
"539","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_5",10,7,-1,0.333333333333333,0.243181818181818,1
"540","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_20",10,10,0,0.4,0.291694133157548,0
"541","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_2",10,10,2,0.25,0.233993902439025,2
"542","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_9",10,7,-1,0,0.129625843385811,1
"543","ABISKO:lower_forest:ALFc1",10,5,0,0,0.547819971870605,0
"544","ABISKO:lower_forest:ALFc2",10,6,-2,0,0.400806451612903,2
"545","ABISKO:lower_forest:ALFc3",10,9,-1,0.25,0.326973684210526,1
"546","ABISKO:lower_forest:ALFc4",10,9,-3,0.333333333333333,0.688775510204082,3
"547","ABISKO:lower_forest:ALFc5",10,13,-8,0.4,0.772816166883964,8
"548","ABISKO:lower_tundra:ALTc1",10,5,-3,0,0.251968503937008,3
"549","ABISKO:lower_tundra:ALTc2",10,6,-2,0,0.307072829131653,2
"550","ABISKO:lower_tundra:ALTc3",10,5,-2,0,0.209340659340659,2
"551","ABISKO:lower_tundra:ALTc4",10,7,-5,0,0.370862369337979,5
"552","ABISKO:lower_tundra:ALTc5",10,5,2,0,0.165833333333333,2
"553","ABISKO:upper_forest:AUFc1",10,6,1,0,0.545839608433735,1
"554","ABISKO:upper_forest:AUFc3",10,12,5,0.285714285714286,0.54185277989614,5
"555","ABISKO:upper_forest:AUFc5",10,12,-5,0.571428571428571,0.536620356387798,5
"556","ABISKO:upper_tundra:AUTc1",10,5,-1,0.5,0.123222748815166,1
"557","ABISKO:upper_tundra:AUTc2",10,6,1,0,0.164480471628592,1
"558","ABISKO:upper_tundra:AUTc3",10,5,-2,0,0.187280701754386,2
"559","ABISKO:upper_tundra:AUTc4",10,7,-5,0,0.38150289017341,5
"560","ABISKO:upper_tundra:AUTc5",10,7,2,0.4,0.2125,2
"561","DISKO:DISTURBANCE:C1.3",28,9,3,0,0.378533231474408,3
"562","DISKO:DISTURBANCE:C4.3",28,10,-2,0.25,0.352209737827715,2
"563","DISKO:DISTURBANCE:C5.3",28,11,2,0.444444444444444,0.111228945726762,2
"564","DISKO:DISTURBANCE:A1.6",28,10,-1,0.444444444444444,0.598885106802822,1
"565","DISKO:DISTURBANCE:A2.2",28,10,-5,0.4,0.147058823529412,5
"566","DISKO:DISTURBANCE:A3.3",28,5,1,0,0.180486086650229,1
"567","DISKO:DISTURBANCE:A4.3",28,9,0,0.444444444444444,0.261779575328615,0
"568","DISKO:DISTURBANCE:A5.1",28,11,3,0.25,0.104076479076479,3
"569","DISKO:DISTURBANCE:A6.1",28,7,-2,0.4,0.0819047619047618,2
"570","DISKO:DISTURBANCE:B1.2",28,12,2,0.2,0.286437246963563,2
"571","DISKO:DISTURBANCE:B2.2",28,12,-2,0.6,0.255086848635236,2
"572","DISKO:DISTURBANCE:B3.4",28,10,-2,0.5,0.242130365659777,2
"573","DISKO:DISTURBANCE:B4.5",28,10,-3,0.285714285714286,0.201162790697674,3
"574","DISKO:DISTURBANCE:B5.2",28,12,1,0.363636363636364,0.118166424770198,1
"575","DISKO:DISTURBANCE:B6.5",28,11,1,0.6,0.20421701018716,1
"576","KILPISJARVI:KILPISJARVI:C1",16,6,0,0,0.416993464052288,0
"577","KILPISJARVI:KILPISJARVI:C2",16,7,-2,0,0.311326860841424,2
"578","KILPISJARVI:KILPISJARVI:C3",16,8,-1,0,0.298122629279301,1
"579","KILPISJARVI:KILPISJARVI:C4",16,8,-1,0.285714285714286,0.249665694527579,1
"580","KILPISJARVI:KILPISJARVI:C5",16,8,-1,0.285714285714286,0.119775903148947,1
"581","LATNJA:DRY_HEATH:C1",21,6,0,0.333333333333333,0.222222222222222,0
"582","LATNJA:DRY_HEATH:C2",21,6,0,0.333333333333333,0.469677419354839,0
"583","LATNJA:DRY_HEATH:C3",21,8,1,0.285714285714286,0.267109634551495,1
"584","LATNJA:DRY_HEATH:C4",21,7,1,0.333333333333333,0.429166666666667,1
"585","LATNJA:DRY_HEATH:C5",13,17,-4,0.153846153846154,0.251786808249949,4
"586","LATNJA:DRY_MEADOW:C1",20,16,-1,0.533333333333333,0.43648473034438,1
"587","LATNJA:DRY_MEADOW:C2",20,19,-3,0.5,0.319166259566846,3
"588","LATNJA:DRY_MEADOW:C3",20,21,-2,0.421052631578947,0.313953488372093,2
"589","LATNJA:DRY_MEADOW:C4",19,15,-5,0.2,0.175104228707564,5
"590","LATNJA:DRY_MEADOW:C5",19,21,-4,0.352941176470588,0.386271529888551,4
"591","LATNJA:WET_MEADOW:C1",22,17,-2,0.533333333333333,0.650914634146341,2
"592","LATNJA:WET_MEADOW:C2",22,16,0,0.625,0.683933933933934,0
"593","LATNJA:WET_MEADOW:C3",22,18,-3,0.666666666666667,0.544409613375131,3
"594","LATNJA:WET_MEADOW:C4",22,15,-1,0.571428571428571,0.773771152296535,1
"595","LATNJA:WET_MEADOW:C5",22,18,-1,0.470588235294118,0.435688405797101,1
"596","LATNJA:TUSSOCK_TUNDRA:C1",21,4,1,0,0.190476190476191,1
"597","LATNJA:TUSSOCK_TUNDRA:C2",21,9,0,0.444444444444444,0.252063015753938,0
"598","LATNJA:TUSSOCK_TUNDRA:C3",21,7,-2,0,0.408212560386473,2
"599","LATNJA:TUSSOCK_TUNDRA:C4",21,6,2,0,0.4375,2
"600","LATNJA:TUSSOCK_TUNDRA:C5",21,9,-1,0.25,0.453846153846154,1
"601","ABISKO:ABISKOWET_FLUX:1_CTL",6,10,-1,0,0.250517598343685,1
"602","ABISKO:ABISKOWET_FLUX:2_CTL",6,11,0,0.363636363636364,0.408481652384091,0
"603","ABISKO:ABISKOWET_FLUX:3_CTL",6,10,3,0,0.35324302134647,3
"604","ABISKO:ABISKOWET_FLUX:4_CTL",6,16,-2,0.571428571428571,0.38760714742633,2
"605","ABISKO:ABISKOWET_FLUX:5_CTL",6,9,-2,0,0.138415696857255,2
"606","ABISKO:ABISKOWET_FLUX:6_CTL",6,14,1,0.307692307692308,0.227335480901979,1
"607","ABISKO:PEATLAND:AA1",13,9,-1,0,0.320781401926987,1
"608","ABISKO:PEATLAND:AA2",13,9,0,0.222222222222222,0.348878711647208,0
"609","ABISKO:PEATLAND:AA3",13,10,0,0.2,0.289234306277489,0
"610","ABISKO:PEATLAND:AA4",13,9,-2,0,0.340491154562384,2
"611","ABISKO:PEATLAND:AA5",13,11,1,0.2,0.299724434441367,1
"612","ABISKO:ABISKODRY_PADDUS:CTL_1",6,13,-2,0,0.192982456140351,2
"613","ABISKO:ABISKODRY_PADDUS:CTL_2",6,14,-2,0.333333333333333,0.477103776390128,2
"614","ABISKO:ABISKODRY_PADDUS:CTL_3",6,16,-3,0.153846153846154,0.513473202744357,3
"615","ABISKO:ABISKODRY_PADDUS:CTL_4",6,18,-4,0.285714285714286,0.376941176470588,4
"616","ABISKO:ABISKODRY_PADDUS:CTL_5",6,16,0,0.25,0.363095238095238,0
"617","ABISKO:ABISKODRY_PADDUS:CTL_6",6,11,4,0,0.156702898550725,4
